"","Ensembl.ID","HGNC.ID","HGNC.symbol","RelEffect","AbsEffect","p"
"1","ENSG00000026025","HGNC:12692","VIM",5497.01567720692,48.4632225561918,0.005
"2","ENSG00000150907","HGNC:3819","FOXO1",4714.55287259545,5.60851911940588,0.005
"3","ENSG00000131981","HGNC:6563","LGALS3",4144.92925059025,84.2620658704668,0.00531914893617021
"4","ENSG00000090104","HGNC:9991","RGS1",2903.34522784471,87.3284974732369,0.00546448087431694
"5","ENSG00000146648","HGNC:3236","EGFR",2355.21876938973,6.28619826323363,0.005
"6","ENSG00000007372","HGNC:8620","PAX6",2125.43310819171,9.77685637463037,0.00546448087431694
"7","ENSG00000139618","HGNC:1101","BRCA2",1929.23516059736,10.1325149012209,0.00546448087431694
"8","ENSG00000163629","HGNC:9646","PTPN13",1432.95953217894,9.8655424523917,0.00531914893617021
"9","ENSG00000113580","HGNC:7978","NR3C1",1331.27365698565,18.7218915497524,0.00546448087431694
"10","ENSG00000170312","HGNC:1722","CDK1",1324.51495107946,38.1824346510986,0.005
"11","ENSG00000145675","HGNC:8979","PIK3R1",1268.24384432522,43.1025188673206,0.005
"12","ENSG00000204388","HGNC:5233","HSPA1B",875.103422490519,82.6224140224567,0.00546448087431694
"13","ENSG00000147168","HGNC:6010","IL2RG",873.707751396911,24.3238430547667,0.00546448087431694
"14","ENSG00000115170","HGNC:171","ACVR1",866.305537298054,11.7284356583506,0.00546448087431694
"15","ENSG00000065534","HGNC:7590","MYLK",863.267600514447,19.8382816815768,0.00546448087431694
"16","ENSG00000116478","HGNC:4852","HDAC1",849.486870787398,20.0417793617907,0.005
"17","ENSG00000008710","HGNC:9008","PKD1",678.719920581936,1.63122121645092,0.005
"18","ENSG00000057657","HGNC:9346","PRDM1",645.53105204642,8.050021523185,0.005
"19","ENSG00000134954","HGNC:3488","ETS1",385.431700821788,3.46308624304513,0.005
"20","ENSG00000161638","HGNC:6141","ITGA5",364.159548708995,9.65155460960409,0.00523560209424084
"21","ENSG00000105810","HGNC:1777","CDK6",327.16093139468,10.6951086869023,0.005
"22","ENSG00000211899","HGNC:5541","IGHM",296.209959918857,5.98868198354298,0.005
"23","ENSG00000162511","HGNC:29612","LAPTM5",295.117237079942,14.7506326059541,0.00546448087431694
"24","ENSG00000120899","HGNC:9612","PTK2B",283.507280714816,5.13828377468319,0.005
"25","ENSG00000130699","HGNC:11537","TAF4",270.651460660376,3.52471156283795,0.005
"26","ENSG00000061273","HGNC:14067","HDAC7",256.036048866602,7.1123829779911,0.00546448087431694
"27","ENSG00000171425","HGNC:25017","ZNF581",250.95419219981,10.0917927876787,0.005
"28","ENSG00000165392","HGNC:12791","WRN",228.046851592475,9.05824020358676,0.00523560209424084
"29","ENSG00000071539","HGNC:12307","TRIP13",223.155330653502,4.4486730934902,0.00546448087431694
"30","ENSG00000169554","HGNC:14881","ZEB2",210.418535198157,7.53264819573839,0.005
"31","ENSG00000146232","HGNC:7799","NFKBIE",201.014884538203,8.6775755158339,0.00546448087431694
"32","ENSG00000182195","HGNC:6548","LDOC1",194.425279291584,34.6521274788839,0.005
"33","ENSG00000086015","HGNC:19035","MAST2",186.217153894653,4.11556899059322,0.00531914893617021
"34","ENSG00000157933","HGNC:10896","SKI",185.711374018,1.03574965984701,0.00531914893617021
"35","ENSG00000080839","HGNC:9893","RBL1",160.441615642111,5.52913028705556,0.00546448087431694
"36","ENSG00000163565","HGNC:5395","IFI16",136.50281498659,24.4142193721365,0.005
"37","ENSG00000100297","HGNC:6948","MCM5",123.722215905076,8.30764210671785,0.00546448087431694
"38","ENSG00000113140","HGNC:11219","SPARC",121.0313528604,13.4257067926545,0.005
"39","ENSG00000103168","HGNC:11534","TAF1C",109.103123809765,2.26769409576891,0.005
"40","ENSG00000100365","HGNC:7662","NCF4",103.633115423952,2.048389557898,0.00546448087431694
"41","ENSG00000110031","HGNC:14061","LPXN",101.955533596723,10.7926548376939,0.005
"42","ENSG00000123609","HGNC:7854","NMI",100.12289117497,17.8335019920628,0.005
"43","ENSG00000079819","HGNC:3379","EPB41L2",97.4390044402907,13.9636833737301,0.00546448087431694
"44","ENSG00000094804","HGNC:1744","CDC6",95.5669470427024,54.2421262428554,0.00546448087431694
"45","ENSG00000181191","HGNC:16648","PJA1",92.1988737631312,10.0067727901565,0.00531914893617021
"46","ENSG00000115904","HGNC:11187","SOS1",87.6986546275668,19.2421413508319,0.00523560209424084
"47","ENSG00000204389","HGNC:5232","HSPA1A",76.1363500510741,251.269165165278,0.00546448087431694
"48","ENSG00000107438","HGNC:2067","PDLIM1",72.050863226931,51.4028856990236,0.005
"49","ENSG00000163602","HGNC:10480","RYBP",67.0303446791412,8.66946614905227,0.005
"50","ENSG00000153094","HGNC:994","BCL2L11",59.4323357614199,18.5750319782892,0.005
"51","ENSG00000112242","HGNC:3115","E2F3",59.0183033737821,5.40836128829322,0.00546448087431694
"52","ENSG00000076003","HGNC:6949","MCM6",54.9855667124048,11.1140862537644,0.00531914893617021
"53","ENSG00000169679","HGNC:1148","BUB1",54.4272825211135,5.30489489098105,0.005
"54","ENSG00000011243","HGNC:29857","AKAP8L",47.4684370293497,36.6255746730577,0.00523560209424084
"55","ENSG00000149269","HGNC:8590","PAK1",46.1153960130744,30.7303519477438,0.00531914893617021
"56","ENSG00000077235","HGNC:4664","GTF3C1",43.6456145169956,12.0765408441868,0.00546448087431694
"57","ENSG00000150995","HGNC:6180","ITPR1",42.7254984878345,11.1511725573661,0.005
"58","ENSG00000076984","HGNC:6847","MAP2K7",40.1890177223752,0.720770975803567,0.005
"59","ENSG00000158716","HGNC:21480","DUSP23",37.4916282399517,20.199447842998,0.00546448087431694
"60","ENSG00000118785","HGNC:11255","SPP1",36.6437301043067,60.9261720118903,0.00546448087431694
"61","ENSG00000130066","HGNC:10540","SAT1",34.5814983022628,8263.45158571355,0.00546448087431694
"62","ENSG00000185591","HGNC:11205","SP1",33.3355700118164,13.5512565701792,0.005
"63","ENSG00000115414","HGNC:3778","FN1",31.9640872041322,53.3842371734644,0.005
"64","ENSG00000126351","HGNC:11796","THRA",30.4420313211083,7.15252030645535,0.00546448087431694
"65","ENSG00000175899","HGNC:7","A2M",30.0069954883833,128.59764732794,0.005
"66","ENSG00000101224","HGNC:1726","CDC25B",29.958941393161,8.40488993318662,0.005
"67","ENSG00000131323","HGNC:12033","TRAF3",29.22687328772,2.97212718138876,0.005
"68","ENSG00000101868","HGNC:9173","POLA1",26.8374250243036,4.76453785181254,0.00546448087431694
"69","ENSG00000089685","HGNC:593","BIRC5",26.6722091447612,20.9990425801493,0.0218579234972678
"70","ENSG00000106799","HGNC:11772","TGFBR1",25.6839334797187,19.5436346956146,0.005
"71","ENSG00000125817","HGNC:1852","CENPB",25.2734549941843,0.87776134541524,0.00531914893617021
"72","ENSG00000173020","HGNC:289","GRK2",25.0580798137909,1.36591091224503,0.005
"73","ENSG00000111445","HGNC:9973","RFC5",24.7227332998998,14.363358786412,0.005
"74","ENSG00000173757","HGNC:11367","STAT5B",23.7202788645347,6.13327780926094,0.005
"75","ENSG00000117394","HGNC:11005","SLC2A1",23.6521449420442,37.5709383568608,0.0050251256281407
"76","ENSG00000116809","HGNC:12936","ZBTB17",23.0926493458997,16.5386978854219,0.00531914893617021
"77","ENSG00000196482","HGNC:3474","ESRRG",21.979057374033,12.7690981296572,0.00546448087431694
"78","ENSG00000185499","HGNC:7508","MUC1",21.6742046032843,260.784050809969,0.005
"79","ENSG00000129245","HGNC:4024","FXR2",21.5898014778062,6.14412108382525,0.00531914893617021
"80","ENSG00000171223","HGNC:6205","JUNB",21.1614223772016,19.9067655438848,0.005
"81","ENSG00000169375","HGNC:19353","SIN3A",20.9126645580004,65.0203140387573,0.005
"82","ENSG00000072201","HGNC:6657","LNX1",20.7713724287915,13.8937945784841,0.00523560209424084
"83","ENSG00000132002","HGNC:5270","DNAJB1",20.5297232540786,130.272224812251,0.00546448087431694
"84","ENSG00000072062","HGNC:9380","PRKACA",20.4501386295086,3.4679592435586,0.005
"85","ENSG00000143622","HGNC:10023","RIT1",19.3706732215285,61.6863201899916,0.00546448087431694
"86","ENSG00000108262","HGNC:4272","GIT1",18.8672734074733,4.24771142176124,0.00531914893617021
"87","ENSG00000168395","HGNC:19421","ING5",18.194102684708,6.60272631630999,0.005
"88","ENSG00000149257","HGNC:1546","SERPINH1",17.9979116720348,6.78563050748261,0.005
"89","ENSG00000153487","HGNC:6062","ING1",17.6115917376645,5.32936839046702,0.005
"90","ENSG00000140564","HGNC:8568","FURIN",17.0578499878742,3.39559661813505,0.005
"91","ENSG00000141646","HGNC:6770","SMAD4",16.7876846929959,13.5941163026331,0.005
"92","ENSG00000067369","HGNC:11999","TP53BP1",16.0784970743071,33.2512625121396,0.00523560209424084
"93","ENSG00000136527","HGNC:10781","TRA2B",15.8508481690668,221.586696110312,0.005
"94","ENSG00000150760","HGNC:2987","DOCK1",15.818350717056,7.59878099848952,0.005
"95","ENSG00000092820","HGNC:12691","EZR",15.3048763093203,643.962603436519,0.0218579234972678
"96","ENSG00000117632","HGNC:6510","STMN1",15.2558287318897,324.297473941476,0.00546448087431694
"97","ENSG00000111348","HGNC:679","ARHGDIB",14.7938031060562,205.506384052501,0.00546448087431694
"98","ENSG00000101400","HGNC:11167","SNTA1",14.6020348824212,3.23096488438245,0.00546448087431694
"99","ENSG00000134899","HGNC:3437","ERCC5",14.4989436342575,16.712810051542,0.00546448087431694
"100","ENSG00000105229","HGNC:17002","PIAS4",14.3315988180689,2.57247723285155,0.00546448087431694
"101","ENSG00000137337","HGNC:21163","MDC1",14.2590928914845,6.98816743455966,0.005
"102","ENSG00000099917","HGNC:14248","MED15",14.0534278619552,6.93279919713189,0.005
"103","ENSG00000124357","HGNC:17174","NAGK",13.8979027915166,69.8398111420439,0.005
"104","ENSG00000149554","HGNC:1925","CHEK1",13.8937117147494,22.3962800131214,0.0218579234972678
"105","ENSG00000175115","HGNC:30032","PACS1",13.8629377008741,5.34483951220917,0.0491803278688525
"106","ENSG00000097007","HGNC:76","ABL1",13.8168301720434,3.98649183887105,0.005
"107","ENSG00000114107","HGNC:29972","CEP70",13.7904677261662,33.5095737713779,0.04
"108","ENSG00000094631","HGNC:14064","HDAC6",13.7426166569382,20.8803540321004,0.0050761421319797
"109","ENSG00000090339","HGNC:5344","ICAM1",13.7000670549912,7.63545352527706,0.00546448087431694
"110","ENSG00000083896","HGNC:30626","YTHDC1",13.3861824444618,43.8512296199493,0.00523560209424084
"111","ENSG00000140396","HGNC:7669","NCOA2",12.7731884325291,10.493581397173,0.00546448087431694
"112","ENSG00000140382","HGNC:5001","HMG20A",12.2581550378724,16.858857097683,0.0393258426966292
"113","ENSG00000111276","HGNC:1785","CDKN1B",12.2304294498699,7.42025366729568,0.00546448087431694
"114","ENSG00000132964","HGNC:1779","CDK8",11.944278193559,11.549522283891,0.00546448087431694
"115","ENSG00000107554","HGNC:30373","DNMBP",11.8904696491719,6.45236596198977,0.005
"116","ENSG00000135723","HGNC:17905","FHOD1",11.1332450276785,11.9320676648494,0.005
"117","ENSG00000147044","HGNC:1497","CASK",10.9814930319472,44.7035599934543,0.00546448087431694
"118","ENSG00000039123","HGNC:18734","MTREX",10.8242715371203,36.7015308270081,0.005
"119","ENSG00000175324","HGNC:20472","LSM1",10.7647321650911,74.164111507975,0.005
"120","ENSG00000124181","HGNC:9065","PLCG1",10.7574125719345,6.36379879908215,0.00546448087431694
"121","ENSG00000104765","HGNC:1085","BNIP3L",10.3821561056922,105.745083977907,0.00523560209424084
"122","ENSG00000155657","HGNC:12403","TTN",10.3132363908372,1.25695692258625,0.00546448087431694
"123","ENSG00000104388","HGNC:9763","RAB2A",10.3068950086623,76.6287252822712,0.005
"124","ENSG00000140939","HGNC:7869","NOL3",10.2828688734239,10.6967415368954,0.005
"125","ENSG00000160294","HGNC:6946","MCM3AP",9.80344998563727,8.21885345006557,0.005
"126","ENSG00000069974","HGNC:9766","RAB27A",9.14618207239468,4.87626939725577,0.00546448087431694
"127","ENSG00000204231","HGNC:10478","RXRB",9.10427028564691,3.29436523615462,0.005
"128","ENSG00000123159","HGNC:1226","GIPC1",8.96898623942436,2.71114989304962,0.00546448087431694
"129","ENSG00000214078","HGNC:2314","CPNE1",8.92853858426566,248.365720184104,0.005
"130","ENSG00000116017","HGNC:3031","ARID3A",8.85215196905768,0.83766889236516,0.00546448087431694
"131","ENSG00000162236","HGNC:11440","STX5",8.35096281108758,6.0235249440486,0.005
"132","ENSG00000184634","HGNC:11957","MED12",8.3071301284554,4.35408211915023,0.005
"133","ENSG00000204843","HGNC:2711","DCTN1",8.28797568591436,43.3864010876038,0.005
"134","ENSG00000147133","HGNC:11535","TAF1",8.2061242209825,12.1493772771366,0.00546448087431694
"135","ENSG00000101199","HGNC:15852","ARFGAP1",8.10861600019926,6.13596452688368,0.00523560209424084
"136","ENSG00000188486","HGNC:4739","H2AX",8.1006006587488,3.8385365588312,0.005
"137","ENSG00000104164","HGNC:8549","BLOC1S6",8.05705717129458,26.4505572851905,0.0163934426229508
"138","ENSG00000064961","HGNC:5002","HMG20B",7.93856640475838,10.9088509060244,0.005
"139","ENSG00000143669","HGNC:1968","LYST",7.92562156265639,12.158282299859,0.0418848167539267
"140","ENSG00000145386","HGNC:1578","CCNA2",7.90507857859218,3.72407850164737,0.005
"141","ENSG00000205250","HGNC:3118","E2F4",7.79651918765344,7.1814759037421,0.00531914893617021
"142","ENSG00000072401","HGNC:12474","UBE2D1",7.78460378144743,25.2882375378443,0.005
"143","ENSG00000151491","HGNC:3420","EPS8",7.78141581723896,35.4787075242315,0.00531914893617021
"144","ENSG00000174738","HGNC:7963","NR1D2",7.76664248985301,20.2460519739543,0.005
"145","ENSG00000119772","HGNC:2978","DNMT3A",7.71598525596422,48.0242569941882,0.00531914893617021
"146","ENSG00000101189","HGNC:15866","MRGBP",7.37129235722509,5.49140376354532,0.00546448087431694
"147","ENSG00000186416","HGNC:19374","NKRF",7.35695170696012,7.49376587576419,0.00546448087431694
"148","ENSG00000204469","HGNC:13918","PRRC2A",7.23155252717634,4.86166335013351,0.00546448087431694
"149","ENSG00000181222","HGNC:9187","POLR2A",7.2189173901524,8.47653319920826,0.005
"150","ENSG00000162924","HGNC:9954","REL",7.19037836086192,29.3230102950573,0.00546448087431694
"151","ENSG00000224470","HGNC:33279","ATXN1L",7.17011947297312,8.47318373174416,0.005
"152","ENSG00000077782","HGNC:3688","FGFR1",7.14706413663242,34.9096092279555,0.00523560209424084
"153","ENSG00000079805","HGNC:2974","DNM2",7.08834030470811,3.63280335881911,0.00531914893617021
"154","ENSG00000133895","HGNC:7010","MEN1",7.00039291279866,1.55773746615673,0.0218579234972678
"155","ENSG00000103653","HGNC:2444","CSK",6.89378804892953,2.54079044171544,0.00546448087431694
"156","ENSG00000116641","HGNC:19190","DOCK7",6.87498592493828,9.90754095952215,0.0163934426229508
"157","ENSG00000078674","HGNC:8727","PCM1",6.85444376515334,69.7465910403094,0.005
"158","ENSG00000100485","HGNC:11188","SOS2",6.7276609396654,12.6637724658981,0.005
"159","ENSG00000106546","HGNC:348","AHR",6.69497307864172,27.9384411075449,0.00523560209424084
"160","ENSG00000106290","HGNC:11540","TAF6",6.5361410486167,3.53159181955222,0.00546448087431694
"161","ENSG00000095066","HGNC:19885","HOOK2",6.51398284474968,23.927184814215,0.0273224043715847
"162","ENSG00000196150","HGNC:13044","ZNF250",6.51358800553545,11.6672042038019,0.005
"163","ENSG00000132694","HGNC:14580","ARHGEF11",6.36750090413542,4.46664726060149,0.0050761421319797
"164","ENSG00000165280","HGNC:12666","VCP",6.31679662960852,45.1909828006574,0.0163934426229508
"165","ENSG00000059728","HGNC:6761","MXD1",6.27344716673772,86.8440110427167,0.015
"166","ENSG00000104365","HGNC:5960","IKBKB",6.20057634140714,15.1192162197475,0.00531914893617021
"167","ENSG00000111752","HGNC:3182","PHC1",6.17560520905045,11.2821965415373,0.005
"168","ENSG00000149091","HGNC:2857","DGKZ",6.15214663311428,3.03958753525113,0.00523560209424084
"169","ENSG00000085117","HGNC:6210","CD82",6.11338953921184,34.2370416395233,0.00546448087431694
"170","ENSG00000164611","HGNC:9690","PTTG1",6.04843666210761,54.0654857553052,0.0163934426229508
"171","ENSG00000172059","HGNC:11811","KLF11",5.91152002944364,6.7041672485562,0.00546448087431694
"172","ENSG00000198793","HGNC:3942","MTOR",5.83472103428705,9.3550418398728,0.0218579234972678
"173","ENSG00000187778","HGNC:6960","MCRS1",5.78871939463822,17.9372363417045,0.005
"174","ENSG00000091073","HGNC:15973","DTX2",5.77008466125988,6.0154393181009,0.0218579234972678
"175","ENSG00000102241","HGNC:5276","HTATSF1",5.65522696240885,21.2191343306695,0.0106382978723404
"176","ENSG00000140044","HGNC:17546","JDP2",5.60249008739535,2.07566003129373,0.015
"177","ENSG00000099956","HGNC:11103","SMARCB1",5.56697890038606,3.93272131678496,0.00546448087431694
"178","ENSG00000140350","HGNC:13233","ANP32A",5.54313335518168,15.5918396088202,0.00546448087431694
"179","ENSG00000196367","HGNC:12347","TRRAP",5.48599528703662,3.01898111570399,0.005
"180","ENSG00000138794","HGNC:1507","CASP6",5.46532899234214,45.0747661266091,0.005
"181","ENSG00000073111","HGNC:6944","MCM2",5.40029919958504,4.64394190124289,0.005
"182","ENSG00000170004","HGNC:1918","CHD3",5.33133145169712,4.15215035058277,0.005
"183","ENSG00000160691","HGNC:10840","SHC1",5.26245988821774,17.6335228407665,0.015
"184","ENSG00000126883","HGNC:8064","NUP214",5.2418789028735,18.542739482279,0.005
"185","ENSG00000105426","HGNC:9681","PTPRS",5.21689251131403,44.0478527421115,0.0218579234972678
"186","ENSG00000120798","HGNC:7971","NR2C1",5.20630985049769,33.0821365162857,0.02
"187","ENSG00000189091","HGNC:10770","SF3B3",5.19035934473564,52.8216366385707,0.005
"188","ENSG00000108854","HGNC:16809","SMURF2",5.17411843719831,12.1574802838299,0.0437158469945355
"189","ENSG00000198373","HGNC:16804","WWP2",5.1346429321918,9.85604690675193,0.005
"190","ENSG00000102225","HGNC:8749","CDK16",5.12898207854065,21.2341980924496,0.00531914893617021
"191","ENSG00000101665","HGNC:6773","SMAD7",5.07379715875817,11.8047218571717,0.005
"192","ENSG00000163349","HGNC:19006","HIPK1",4.95417883685197,13.6063451454561,0.02
"193","ENSG00000196781","HGNC:11837","TLE1",4.88609586253043,16.7814009083875,0.005
"194","ENSG00000128016","HGNC:12862","ZFP36",4.8794102717209,85.9427924112415,0.005
"195","ENSG00000100906","HGNC:7797","NFKBIA",4.79946740023388,185.291131783784,0.00531914893617021
"196","ENSG00000114127","HGNC:30654","XRN1",4.77055627900562,45.6074167818239,0.005
"197","ENSG00000115415","HGNC:11362","STAT1",4.76834191234606,31.682568115147,0.00531914893617021
"198","ENSG00000106462","HGNC:3527","EZH2",4.74758013503455,15.6873641528858,0.005
"199","ENSG00000141582","HGNC:1554","CBX4",4.72742253626771,2.54231642463295,0.005
"200","ENSG00000163435","HGNC:3318","ELF3",4.62763628772294,308.590551236316,0.00531914893617021
"201","ENSG00000082898","HGNC:12825","XPO1",4.61379363048312,42.5086278061228,0.005
"202","ENSG00000143801","HGNC:9509","PSEN2",4.54674612124011,8.51847445113296,0.005
"203","ENSG00000196235","HGNC:11469","SUPT5H",4.51059220317905,39.0928165097817,0.005
"204","ENSG00000185043","HGNC:16920","CIB1",4.48683732467652,140.133868933154,0.00523560209424084
"205","ENSG00000075413","HGNC:6897","MARK3",4.44951793545083,37.3663620879759,0.005
"206","ENSG00000169756","HGNC:6616","LIMS1",4.41957088456863,13.7989580729804,0.0218579234972678
"207","ENSG00000110092","HGNC:1582","CCND1",4.37509082804357,30.8295425718999,0.005
"208","ENSG00000105397","HGNC:12440","TYK2",4.35473793713423,20.4672790791655,0.005
"209","ENSG00000164050","HGNC:9103","PLXNB1",4.33211364683468,9.61775684407835,0.005
"210","ENSG00000197386","HGNC:4851","HTT",4.32074324520728,17.6422260424396,0.00546448087431694
